trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171401282,2,9/21/2021 14:11,9/21/2021 14:13,5770,Round Trip,30,Monthly Pass,standard,4516,4516,34.045849,-118.254402,34.045849,-118.254402,0
171401283,1,9/21/2021 14:10,9/21/2021 14:11,6685,Round Trip,30,Monthly Pass,standard,4516,4516,34.045849,-118.254402,34.045849,-118.254402,0
171401285,8,9/21/2021 14:03,9/21/2021 14:11,13643,One Way,30,Monthly Pass,standard,4493,4476,34.090279,-118.277191,34.08252,-118.27272,0.01223
171401294,36,9/21/2021 13:36,9/21/2021 14:12,6386,One Way,1,One Day Pass,standard,4581,4544,33.970242,-118.426071,33.928459,-118.435204,0.050916
171401334,89,9/21/2021 12:45,9/21/2021 14:14,6431,One Way,1,Walk-up,standard,4210,4215,33.984341,-118.47155,34.014309,-118.491341,0.049759
171401343,99,9/21/2021 12:36,9/21/2021 14:15,12126,One Way,1,Walk-up,standard,4210,4215,33.984341,-118.47155,34.014309,-118.491341,0.049759
171401382,4,9/21/2021 14:13,9/21/2021 14:17,5796,One Way,30,Monthly Pass,standard,4516,3005,34.045849,-118.254402,34.0485,-118.258537,0.006786
171401383,7,9/21/2021 14:12,9/21/2021 14:19,5800,One Way,30,Monthly Pass,standard,4476,4510,34.08252,-118.27272,34.077351,-118.264549,0.01334
171401391,27,9/21/2021 13:52,9/21/2021 14:19,20198,One Way,30,Monthly Pass,standard,4246,4273,34.023708,-118.279167,34.02586,-118.284103,0.007088
171401401,48,9/21/2021 13:31,9/21/2021 14:19,13842,One Way,1,One Day Pass,standard,4214,4579,33.99556,-118.481552,33.984859,-118.431129,0.061124
171401403,49,9/21/2021 13:29,9/21/2021 14:18,12139,One Way,30,Monthly Pass,standard,4220,3005,34.074829,-118.258728,34.0485,-118.258537,0.02652
171401482,2,9/21/2021 14:18,9/21/2021 14:20,12139,One Way,30,Monthly Pass,standard,3005,3032,34.0485,-118.258537,34.049889,-118.255882,0.004044
171401483,6,9/21/2021 14:17,9/21/2021 14:23,6026,One Way,30,Monthly Pass,standard,4249,4250,34.020302,-118.281181,34.03017,-118.280952,0.010097
171401488,14,9/21/2021 14:09,9/21/2021 14:23,16219,One Way,1,Walk-up,standard/smart,4215,4202,34.014309,-118.491341,33.991161,-118.468292,0.046197
171401491,22,9/21/2021 14:02,9/21/2021 14:24,17463,Round Trip,30,Monthly Pass,electric,4544,4544,33.928459,-118.435204,33.928459,-118.435204,0
